post_id,rugby_ignite_url,team_a,team_b,date,season,home_points,away_points,match_status,competition_name
1135,https://rugbyignite.co.za/fixture/2025/hoerskool-transvalia-vs-noordheuwel/,Hoërskool Transvalia,Hoërskool Noordheuwel,2025-08-16,2025,14,14,migrated,
1136,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-hoerskool-oos-moot/,Hoërskool Waterkloof,Hoërskool Oos-Moot,2025-03-11,2025,24,21,migrated,
1137,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-hts-middelburg/,Hoërskool Waterkloof,HTS Middelburg,2025-03-21,2025,26,22,migrated,
1138,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-paarl-boys-high/,Hoërskool Waterkloof,Paarl Boys High,2025-03-28,2025,0,66,migrated,
1139,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-boland-landbou/,Hoërskool Waterkloof,Boland Landbou,2025-03-31,2025,37,46,migrated,
1140,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-hoerskool-menlopark/,Hoërskool Waterkloof,Hoërskool Menlopark,2025-04-12,2025,23,23,migrated,
1141,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-hoerskool-diamantveld/,Hoërskool Waterkloof,Hoerskool Diamantveld,2025-04-30,2025,52,26,migrated,Wildeklawer 2025
1142,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-stellenberg-high-school/,Hoërskool Waterkloof,Stellenberg High School,2025-05-03,2025,17,17,migrated,Wildeklawer 2025
1143,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-hoerskool-menlopark-2/,Hoërskool Waterkloof,Hoërskool Menlopark,2025-05-17,2025,27,19,migrated,
1144,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-hoerskool-rustenburg/,Hoërskool Waterkloof,Hoërskool Rustenburg,2025-05-31,2025,40,15,migrated,
1145,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-eg-jansen/,Hoërskool Waterkloof,EG Jansen,2025-06-07,2025,20,22,migrated,
1146,https://rugbyignite.co.za/fixture/2025/hoerskool-waterkloof-vs-affies/,Hoërskool Waterkloof,Afrikaanse Hoër Seunskool,2025-08-02,2025,64,19,migrated,
